Year	Team	No.	Player	Pos	Pos2	Age	Ht	Wt	S	C	Exp	Birth Mth	Birth Day	Birth Year	Birthdate	Summary
1997-98	NYI	3	Zdeno Chara	D	D	20	81	255	L	-	0	3	18	1977	3/18/77	"0 G, 1 A, 1 P"
1998-99	NYI	3	Zdeno Chara	D	D	21	81	255	L	-	1	3	18	1977	3/18/77	"2 G, 6 A, 8 P"
1999-00	NYI	3	Zdeno Chara	D	D	22	81	255	L	-	2	3	18	1977	3/18/77	"2 G, 9 A, 11 P"
2000-01	NYI	3	Zdeno Chara	D	D	23	81	255	L	-	3	3	18	1977	3/18/77	"2 G, 7 A, 9 P"
2001-02	OTT	3	Zdeno Chara	D	D	24	81	255	L	-	4	3	18	1977	3/18/77	"10 G, 13 A, 23 P"
2002-03	OTT	3	Zdeno Chara	D	D	25	81	255	L	-	5	3	18	1977	3/18/77	"9 G, 30 A, 39 P"
2003-04	OTT	3	Zdeno Chara	D	D	26	81	255	L	-	6	3	18	1977	3/18/77	"16 G, 25 A, 41 P"
2005-06	OTT	3	Zdeno Chara	D	D	28	81	255	L	-	7	3	18	1977	3/18/77	"16 G, 27 A, 43 P"
2006-07	BOS	33	Zdeno Chara	D	D	29	81	255	L	-	8	3	18	1977	3/18/77	"11 G, 32 A, 43 P"
2007-08	BOS	33	Zdeno Chara	D	D	30	81	255	L	-	9	3	18	1977	3/18/77	"17 G, 34 A, 51 P"
2008-09	BOS	33	Zdeno Chara	D	D	31	81	255	L	-	10	3	18	1977	3/18/77	"19 G, 31 A, 50 P"
2009-10	BOS	33	Zdeno Chara	D	D	32	81	255	L	-	11	3	18	1977	3/18/77	"7 G, 37 A, 44 P"
2010-11	BOS	33	Zdeno Chara	D	D	33	81	255	L	-	12	3	18	1977	3/18/77	"14 G, 30 A, 44 P"
2011-12	BOS	33	Zdeno Chara	D	D	34	81	255	L	-	13	3	18	1977	3/18/77	"12 G, 40 A, 52 P"
2012-13	BOS	33	Zdeno Chara	D	D	35	81	255	L	-	14	3	18	1977	3/18/77	"7 G, 12 A, 19 P"
2013-14	BOS	33	Zdeno Chara	D	D	36	81	255	L	-	15	3	18	1977	3/18/77	"17 G, 23 A, 40 P"
2014-15	BOS	33	Zdeno Chara	D	D	37	81	255	L	-	16	3	18	1977	3/18/77	"3 G, 10 A, 13 P"
2015-16	BOS	33	Zdeno Chara	D	D	38	81	250	L	-	17	3	18	1977	3/18/77	"9 G, 28 A, 37 P"
2016-17	BOS	33	Zdeno Chara	D	D	39	81	250	L	-	18	3	18	1977	3/18/77	"10 G, 19 A, 29 P"
2017-18	BOS	33	Zdeno Chara	D	D	40	81	250	L	-	19	3	18	1977	3/18/77	"4 G, 9 A, 13 P"
2012-13	TBL	62	Andrej Sustr	D	D	22	80	225	R	-	0	11	29	1990	11/29/90	"0 G, 0 A, 0 P"
2013-14	TBL	62	Andrej Sustr	D	D	23	80	225	R	-	1	11	29	1990	11/29/90	"1 G, 7 A, 8 P"
2014-15	TBL	62	Andrej Sustr	D	D	24	80	225	R	-	2	11	29	1990	11/29/90	"0 G, 7 A, 7 P"
1997-98	VAN	36	Chris McAllister	D	D	22	80	250	L	-	0	6	16	1975	6/16/75	"1 G, 2 A, 3 P"
1998-99	TOR	33	Chris McAllister	D	D	23	80	250	L	-	1	6	16	1975	6/16/75	"0 G, 2 A, 2 P"
1998-99	VAN	36	Chris McAllister	D	D	23	80	250	L	-	1	6	16	1975	6/16/75	"1 G, 1 A, 2 P"
1999-00	TOR	33	Chris McAllister	D	D	24	80	250	L	-	2	6	16	1975	6/16/75	"0 G, 3 A, 3 P"
2000-01	PHI	24	Chris McAllister	D	D	25	80	250	L	-	3	6	16	1975	6/16/75	"2 G, 2 A, 4 P"
2001-02	PHI	24	Chris McAllister	D	D	26	80	250	L	-	4	6	16	1975	6/16/75	"0 G, 5 A, 5 P"
2002-03	COL	24	Chris McAllister	D	D	27	80	250	L	-	5	6	16	1975	6/16/75	"0 G, 1 A, 1 P"
2002-03	PHI	24	Chris McAllister	D	D	27	80	250	L	-	5	6	16	1975	6/16/75	"0 G, 0 A, 0 P"
2003-04	COL	24	Chris McAllister	LW	F	28	80	250	L	-	6	6	16	1975	6/16/75	"0 G, 0 A, 0 P"
2003-04	NYR	24	Chris McAllister	LW	F	28	80	250	L	-	6	6	16	1975	6/16/75	"0 G, 1 A, 1 P"
2011-12	BUF	4	Joe Finley	D	D	24	80	249	L	-	0	6	29	1987	6/29/87	"0 G, 0 A, 0 P"
2012-13	NYI	52	Joe Finley	D	D	25	80	249	L	-	1	6	29	1987	6/29/87	"0 G, 1 A, 1 P"
2008-09	MIN	36	John Scott	D	D	26	80	270	L	-	0	9	26	1982	9/26/82	"0 G, 1 A, 1 P"
2009-10	MIN	36	John Scott	D	D	27	80	270	L	-	1	9	26	1982	9/26/82	"1 G, 1 A, 2 P"
2010-11	CHI	32	John Scott	D	D	28	80	270	L	-	2	9	26	1982	9/26/82	"0 G, 1 A, 1 P"
2011-12	NYR	28	John Scott	D	D	29	80	270	L	-	3	9	26	1982	9/26/82	"0 G, 0 A, 0 P"
2011-12	CHI	32	John Scott	D	D	29	80	270	L	-	3	9	26	1982	9/26/82	"0 G, 1 A, 1 P"
2012-13	BUF	32	John Scott	D	D	30	80	270	L	-	4	9	26	1982	9/26/82	"0 G, 0 A, 0 P"
2013-14	BUF	32	John Scott	LW	F	31	80	270	L	-	5	9	26	1982	9/26/82	"1 G, 0 A, 1 P"
2014-15	SJS	20	John Scott	LW	F	32	80	270	L	-	6	9	26	1982	9/26/82	"2 G, 1 A, 3 P"
2015-16	MTL	22	John Scott	LW	F	33	80	260	L	-	7	9	26	1982	9/26/82	"0 G, 0 A, 0 P"
2015-16	ARZ	28	John Scott	LW	F	33	80	260	L	-	7	9	26	1982	9/26/82	"0 G, 1 A, 1 P"
2008-09	NYI	49	Mitch Fritz	LW	F	28	80	249	L	-	0	11	24	1980	11/24/80	"0 G, 0 A, 0 P"
