Player.NHL,Mid.Age,Season,Season.N,Position,Position.N,Team,GP,Total.TOI,EV.TOI,G,A1,A2,Points,Tango,ixG,FO.Diff,iPENT,iPEND,RelCF60,RelCA60,RelCDiff,Total.GS
A.J..GREER,20,20162017,10,L,1,COL,5,68.31,63.26,0,0,1,1,10,0.88,0,2,1,-3.58,-18.78,15.2,0.77
AARON.DOWNEY,33,20072008,1,R,1,DET,56,256.94,250.65,0,3,0,3,22,1.49,0,31,16,-13.42,3.11,-16.53,2.3
AARON.DOWNEY,34,20082009,2,R,1,DET,4,20.85,20.29,1,0,1,2,1,0.16,0,2,2,-10.41,7.48,-17.89,1.37
AARON.EKBLAD,18,20142015,8,D,2,FLA,81,1760.28,1387.63,12,10,17,39,339,9.54,0,14,13,2.26,-5.38,7.64,52.43
AARON.EKBLAD,19,20152016,9,D,2,FLA,78,1684.96,1294.57,15,8,13,36,309,9.87,0,18,7,-0.61,-6.11,5.5,43.92
AARON.EKBLAD,20,20162017,10,D,2,FLA,68,1454.25,1099.08,10,4,7,21,398,12.12,0,27,12,4.6,0.69,3.91,33.01
AARON.GAGNON,23,20092010,3,C,1,DAL,2,17.62,15.09,0,0,0,0,4,0.29,5,0,0,11.6,22.06,-10.46,0.18
AARON.GAGNON,24,20102011,4,C,1,DAL,19,153.22,137.97,0,0,2,2,26,0.89,5,1,0,0.77,-5.15,5.92,1.31
AARON.GAGNON,25,20112012,5,C,1,WPG,7,66.14,64.06,0,0,0,0,12,0.72,-4,0,0,15.71,-4.18,19.89,1.12
AARON.GAGNON,26,20122013,6,C,1,WPG,10,81.5,72.56,3,0,0,3,14,1.36,3,1,1,-5.55,-8.74,3.19,3.68
AARON.JOHNSON,24,20072008,1,D,2,NYI,30,414.85,318.97,0,0,2,2,46,0.64,0,15,4,-2.98,7.69,-10.67,0.92
AARON.JOHNSON,25,20082009,2,D,2,CHI,38,534.78,440.98,3,1,4,8,54,1.29,0,16,3,-4.14,0.51,-4.65,11.29
AARON.JOHNSON,26,20092010,3,D,2,CGY/EDM,41,641.07,525.61,4,3,3,10,81,1.75,0,16,7,0.66,2.18,-1.52,5.53
AARON.JOHNSON,28,20112012,5,D,2,CBJ,56,921.72,754.18,3,6,7,16,115,3.43,0,8,9,-1.37,1.83,-3.2,12.03
AARON.JOHNSON,29,20122013,6,D,2,BOS,10,148.86,131.16,0,0,0,0,23,0.25,0,5,1,3.43,-6.38,9.81,2.5
AARON.MACKENZIE,27,20082009,2,D,2,COL,5,73.2,61.84,0,0,0,0,8,0.3,0,0,0,13.17,-18.56,31.73,1.33
AARON.MILLER,36,20072008,1,D,2,VAN,57,985.54,773.22,1,1,7,9,67,1.01,0,11,4,-2.58,1.14,-3.72,3.93
AARON.NESS,21,20112012,5,D,2,NYI,9,152.27,140.92,0,0,0,0,18,0.45,0,1,0,-7.87,4.27,-12.14,-1.63
AARON.NESS,23,20132014,7,D,2,NYI,20,296.09,260.94,1,0,2,3,48,0.97,0,5,1,3.86,5.23,-1.37,1.14
AARON.NESS,25,20152016,9,D,2,WSH,8,99.12,96.35,0,0,2,2,18,0.36,0,1,1,5.24,-3.81,9.05,4.01
AARON.NESS,26,20162017,10,D,2,WSH,2,25.66,25.26,0,0,0,0,1,0.03,0,0,0,-18.21,4.59,-22.8,-0.55
AARON.PALUSHAJ,21,20102011,4,R,1,MTL,3,25.52,23.45,0,0,0,0,6,0.3,-1,1,1,22.13,7.21,14.92,0.46
AARON.PALUSHAJ,22,20112012,5,R,1,MTL,38,287.29,280.5,1,1,3,5,69,2.29,-4,7,9,8.04,-13.46,21.5,9.89
AARON.PALUSHAJ,23,20122013,6,R,1,COL,25,282.02,256.71,2,3,4,9,47,2.13,-4,4,8,3.31,-0.2,3.51,8.18
AARON.PALUSHAJ,24,20132014,7,R,1,CAR,2,18.63,17.34,0,0,0,0,4,0.23,-1,0,0,-1.87,-9.24,7.37,0.17
AARON.ROME,24,20072008,1,D,2,CBJ,17,309.09,243.54,1,0,1,2,32,0.52,0,6,1,-10.13,2.91,-13.04,1.25
AARON.ROME,25,20082009,2,D,2,CBJ,8,123.79,108.17,0,1,0,1,16,0.18,0,0,0,11.18,-2.96,14.14,2.76
AARON.ROME,26,20092010,3,D,2,VAN,49,742.71,636.7,0,1,3,4,118,2.13,0,8,3,-0.23,2.62,-2.85,6.76
AARON.ROME,27,20102011,4,D,2,VAN,56,971.93,806.68,1,3,1,5,108,2.05,0,17,5,-8.78,1.29,-10.07,8.62
AARON.ROME,28,20112012,5,D,2,VAN,43,654.39,565.51,4,3,3,10,101,1.93,0,15,4,-2.7,4.62,-7.32,11.61
AARON.ROME,29,20122013,6,D,2,DAL,27,412.72,356.68,0,3,2,5,40,0.49,0,8,4,-5.93,2.75,-8.68,0.67
AARON.ROME,30,20132014,7,D,2,DAL,25,325.34,292.29,0,1,0,1,36,0.57,0,4,2,-1.61,5.88,-7.49,1.88
AARON.VOLPATTI,25,20102011,4,L,1,VAN,15,102.4,96.19,1,1,0,2,11,0.5,0,5,3,-18.79,-1.77,-17.02,1.48
AARON.VOLPATTI,26,20112012,5,L,1,VAN,23,206.17,198.46,1,0,0,1,34,1.34,4,11,4,-19.85,9.1,-28.95,-0.19
AARON.VOLPATTI,27,20122013,6,L,1,VAN/WSH,33,275.1,267.19,1,1,0,2,41,2.13,-2,10,4,-13.9,-3.73,-10.17,0.46
AARON.VOLPATTI,28,20132014,7,L,1,WSH,41,302,297.58,2,0,0,2,37,2,-4,12,3,-17.99,0.08,-18.07,-3.41
AARON.VOLPATTI,29,20142015,8,L,1,WSH,2,19.24,19.24,0,0,0,0,3,0.08,0,0,1,-0.2,-16.71,16.51,0.27
AARON.VOROS,26,20072008,1,L,1,MIN,55,502.62,420.14,7,6,1,14,81,7,-9,37,20,-9.19,5.69,-14.88,5.66
AARON.VOROS,27,20082009,2,L,1,NYR,54,602.06,499.52,8,6,2,16,100,8.68,-2,36,17,2.49,-4.31,6.8,17.46
AARON.VOROS,28,20092010,3,L,1,NYR,41,251.77,246.02,3,4,0,7,34,1.92,0,25,5,-7.93,5.56,-13.49,1.73
AARON.VOROS,29,20102011,4,L,1,ANA,12,66.54,65.7,0,0,0,0,10,0.82,1,9,8,2.18,-6.55,8.73,-0.61
AARON.WARD,35,20072008,1,D,2,BOS,65,1336.69,975.97,5,2,6,13,141,2.64,0,17,8,-1.52,0.23,-1.75,22.45
AARON.WARD,36,20082009,2,D,2,BOS,64,1211.75,983.96,3,2,4,9,120,2.05,0,20,4,-4.02,2.03,-6.05,15.07
AARON.WARD,37,20092010,3,D,2,ANA/CAR,76,1304.27,1064.13,1,1,11,13,111,1.47,0,29,7,-2.21,3.14,-5.35,6.48
ADAM.ALMQUIST,22,20132014,7,D,2,DET,2,34.45,27.96,1,0,0,1,2,0.2,0,0,0,1.73,-10.54,12.27,0.92
ADAM.BERTI,21,20072008,1,L,1,CHI,2,20.24,19.34,0,0,0,0,2,0.1,0,0,0,-5.16,-16.53,11.37,0.08
ADAM.BURISH,25,20072008,1,R,1,CHI,80,938.04,646.64,4,3,1,8,84,5.53,-41,38,23,-10.94,1.55,-12.49,3.48
ADAM.BURISH,26,20082009,2,R,1,CHI,66,608.36,458.76,6,2,1,9,99,7.84,-26,16,14,-6,-1.59,-4.41,18.04
ADAM.BURISH,27,20092010,3,R,1,CHI,13,114.01,109.87,1,2,1,4,18,0.99,-7,3,2,-9.82,12.45,-22.27,4.22
ADAM.BURISH,28,20102011,4,R,1,DAL,63,904.38,739.06,8,3,3,14,134,7.99,33,20,13,-3.67,2.27,-5.94,12.67
ADAM.BURISH,29,20112012,5,R,1,DAL,65,830.67,681.04,6,7,6,19,134,7.91,45,15,12,-1.03,-3.3,2.27,19.92
ADAM.BURISH,30,20122013,6,R,1,S.J,46,485.82,410.94,1,1,1,3,73,3.53,16,8,13,-12.74,8.72,-21.46,1.73
ADAM.BURISH,31,20132014,7,R,1,S.J,15,144.03,122.89,0,0,0,0,18,1.01,3,3,1,-14.48,-1.72,-12.76,1.26
ADAM.BURISH,32,20142015,8,R,1,S.J,20,222.58,184.51,1,2,0,3,37,1.46,7,3,4,-21.63,17.44,-39.07,-0.03
ADAM.CLENDENING,22,20142015,8,D,2,CHI/VAN,21,348.59,287.53,1,1,2,4,48,0.97,0,5,0,2.75,2.09,0.66,4.69
ADAM.CLENDENING,23,20152016,9,D,2,EDM/PIT,29,428.8,390.74,1,1,5,7,82,1.76,0,10,4,-1.86,3.99,-5.85,7.58
ADAM.CLENDENING,24,20162017,10,D,2,NYR,31,490.23,431.94,3,1,7,11,86,1.67,0,7,4,6.63,-11.81,18.44,14.94
ADAM.CRACKNELL,25,20102011,4,R,1,STL,24,214.17,201.19,3,3,1,7,44,2.12,-26,4,2,-6.86,-2.9,-3.96,6.5
ADAM.CRACKNELL,26,20112012,5,R,1,STL,2,15.28,14.07,1,0,0,1,1,0.09,-1,0,0,1.04,-1.47,2.51,1.37
ADAM.CRACKNELL,27,20122013,6,R,1,STL,20,172.16,168.66,2,2,2,6,37,1.67,-13,2,2,4.6,-6.87,11.47,8.24
ADAM.CRACKNELL,28,20132014,7,R,1,STL,19,154.81,148.59,0,1,1,2,28,1.23,-7,0,3,-6.29,0.71,-7,3.34
ADAM.CRACKNELL,29,20142015,8,R,1,CBJ,17,168.96,156.58,0,1,0,1,29,1.19,-18,1,0,-8.15,4.03,-12.18,-2.25
ADAM.CRACKNELL,30,20152016,9,R,1,EDM/VAN,52,635.03,570.4,5,4,1,10,115,6.22,-83,10,10,-2.05,-0.64,-1.41,8.75
ADAM.CRACKNELL,31,20162017,10,R,1,DAL,69,721.96,663.28,10,3,3,16,160,8.19,-25,6,11,4.04,-0.11,4.15,22.27
ADAM.ERNE,21,20162017,10,L,1,T.B,26,305.91,272.11,3,0,0,3,62,3.69,-2,4,4,-3.13,-1.96,-1.17,4.36
ADAM.FOOTE,36,20072008,1,D,2,CBJ/COL,75,1740.73,1233.67,1,3,11,15,137,2.32,0,36,16,-3.5,2.98,-6.48,15.98
ADAM.FOOTE,37,20082009,2,D,2,COL,42,822.36,608.15,1,1,5,7,42,0.94,0,15,2,-4.48,2.04,-6.52,-2.11
ADAM.FOOTE,38,20092010,3,D,2,COL,67,1294.22,1027.65,0,5,4,9,79,1.21,0,24,10,0.64,6.18,-5.54,-0.87
ADAM.FOOTE,39,20102011,4,D,2,COL,47,838.43,656.35,0,3,5,8,41,1.04,0,14,6,-3.58,6.67,-10.25,-2.23
ADAM.HALL,27,20072008,1,R,1,PIT,46,543.92,359.58,2,1,3,6,58,2.88,-2,9,9,-17.96,6.1,-24.06,-0.48
ADAM.HALL,28,20082009,2,R,1,T.B,74,827.58,605.07,5,3,2,10,138,8.07,0,10,20,-4.45,-5.91,1.46,12.87
ADAM.HALL,30,20102011,4,R,1,T.B,82,1215.34,919.35,7,7,4,18,241,15.49,66,13,23,-11.09,-4.52,-6.57,28.87
ADAM.HALL,31,20112012,5,R,1,T.B,57,674.25,491.7,2,4,1,7,87,5.76,88,7,10,-9.83,-4.19,-5.64,6.43
ADAM.HALL,32,20122013,6,R,1,CAR/PHI/T.B,37,389.02,300.24,0,3,1,4,52,2.71,31,4,5,-16.14,-2.9,-13.24,1.74
ADAM.HALL,33,20132014,7,R,1,PHI,80,783.66,520.19,4,3,2,9,99,4.87,101,10,5,-14.74,-0.88,-13.86,6
ADAM.HENRIQUE,20,20102011,4,C,1,N.J,1,13.37,12.32,0,0,0,0,3,0.29,-1,0,0,-17.7,-2.94,-14.76,0.49
ADAM.HENRIQUE,21,20112012,5,C,1,N.J,74,1342.65,1024.95,16,18,17,51,173,15.45,-24,2,9,3.78,0.71,3.07,51.37
ADAM.HENRIQUE,23,20122013,6,C,1,N.J,42,768.15,527.3,11,5,0,16,129,10.44,-14,7,9,5.38,3.34,2.04,23.92
ADAM.HENRIQUE,23,20132014,7,C,1,N.J,77,1389.56,973.93,25,9,9,43,198,17.14,-104,9,18,1.77,4.8,-3.03,47.7
ADAM.HENRIQUE,24,20142015,8,C,1,N.J,75,1330.26,973.37,16,16,11,43,208,15.3,21,11,8,5.31,8.9,-3.59,33.54
ADAM.HENRIQUE,25,20152016,9,C,1,N.J,80,1583.2,1054.33,30,7,13,50,208,18,-147,10,13,-1.15,-0.68,-0.47,41.59
ADAM.HENRIQUE,26,20162017,10,C,1,N.J,81,1464.68,996.47,20,13,7,40,223,17.85,-41,15,15,2.18,4.49,-2.31,34.41
ADAM.LARSSON,19,20112012,5,D,2,N.J,65,1334.8,1126.32,2,8,8,18,151,2.59,0,10,5,0.25,-0.57,0.82,20.26
ADAM.LARSSON,20,20122013,6,D,2,N.J,37,669.16,579.16,0,3,3,6,68,0.82,0,6,7,-12.05,2.44,-14.49,9.86
ADAM.LARSSON,21,20132014,7,D,2,N.J,26,461.76,396.37,1,2,0,3,53,0.53,0,6,3,6.23,-0.18,6.41,8.42
ADAM.LARSSON,22,20142015,8,D,2,N.J,64,1335.7,1043.72,3,9,12,24,175,3.7,0,17,5,1.03,0.65,0.38,20.93
ADAM.LARSSON,23,20152016,9,D,2,N.J,82,1841.92,1434.41,3,6,9,18,151,3.18,0,25,8,-5.81,-2.58,-3.23,10.8
ADAM.LARSSON,24,20162017,10,D,2,EDM,79,1587.78,1376.38,3,4,12,19,199,3.19,0,26,6,2.13,1.91,0.22,26.4
ADAM.LOWRY,21,20142015,8,L,1,WPG,80,1099.69,969.95,11,9,3,23,173,12.9,-47,16,15,-0.78,-5.52,4.74,33.97
ADAM.LOWRY,22,20152016,9,L,1,WPG,74,1037.61,835.99,7,6,4,17,114,8.95,-63,17,12,-8.79,2.79,-11.58,11.69
ADAM.LOWRY,23,20162017,10,L,1,WPG,81,1294.28,933.78,15,7,7,29,182,18.76,22,16,14,-1.59,0.88,-2.47,27.86
ADAM.MAIR,28,20072008,1,C,1,BUF,72,634.24,572.61,5,6,6,17,94,5.66,-32,24,8,-10.98,0.63,-11.61,7.95
ADAM.MAIR,29,20082009,2,C,1,BUF,75,790.05,731.2,8,6,5,19,124,8.25,-14,30,9,-2.85,1.98,-4.83,13.76
ADAM.MAIR,30,20092010,3,C,1,BUF,69,637.44,607.02,6,4,4,14,98,5.68,8,24,9,-4.59,-7.41,2.82,13.73
ADAM.MAIR,31,20102011,4,C,1,N.J,65,590.46,540.18,1,2,1,4,89,5.09,2,16,8,-9.51,4.12,-13.63,1.21
ADAM.MCQUAID,23,20092010,3,D,2,BOS,19,202.85,187,1,0,0,1,25,0.28,0,6,4,-7.24,-3.76,-3.48,1.59
ADAM.MCQUAID,24,20102011,4,D,2,BOS,67,993.92,872.31,3,6,6,15,120,1.6,0,23,14,-4.11,1.53,-5.64,21.37
ADAM.MCQUAID,25,20112012,5,D,2,BOS,72,1075.93,961.77,2,2,6,10,155,1.59,0,21,9,-9.72,1.84,-11.56,17.54
ADAM.MCQUAID,26,20122013,6,D,2,BOS,32,457.13,424.95,1,2,1,4,62,1.21,0,19,6,-9.07,-5.19,-3.88,7.85
ADAM.MCQUAID,27,20132014,7,D,2,BOS,30,481.4,407.79,1,2,3,6,56,0.57,0,18,7,-5.44,-0.29,-5.15,8.28
ADAM.MCQUAID,28,20142015,8,D,2,BOS,63,1158.26,991.97,1,2,4,7,134,1.89,-1,28,9,-7.47,0.18,-7.65,9.73
ADAM.MCQUAID,29,20152016,9,D,2,BOS,64,1145.28,951.08,1,3,5,9,106,1.2,0,30,11,-1.9,0.62,-2.52,10.3
ADAM.MCQUAID,30,20162017,10,D,2,BOS,77,1394.86,1164.53,2,4,4,10,134,2.47,0,21,12,0.29,1.47,-1.18,27.39
ADAM.PARDY,24,20082009,2,D,2,CGY,59,888.58,783.32,1,3,6,10,91,1.43,0,26,10,-0.75,-1.36,0.61,17.06
ADAM.PARDY,25,20092010,3,D,2,CGY,57,904.02,786.16,2,4,3,9,97,1.02,0,22,11,4.99,-1.75,6.74,17.33
ADAM.PARDY,26,20102011,4,D,2,CGY,30,440.59,400.95,1,4,2,7,80,1.42,0,12,4,6.65,-3.96,10.61,13.07
ADAM.PARDY,27,20112012,5,D,2,DAL,36,591.64,537.78,0,0,3,3,56,0.96,0,8,6,-3.22,2,-5.22,2.8
ADAM.PARDY,28,20122013,6,D,2,BUF,17,280.86,246.93,0,1,3,4,17,0.26,0,6,3,-2.88,-6.06,3.18,1.31
ADAM.PARDY,29,20132014,7,D,2,WPG,60,864.53,783.78,0,2,4,6,100,2.49,0,17,4,-2.69,-11.13,8.44,13.06
ADAM.PARDY,30,20142015,8,D,2,WPG,55,822.15,663.75,0,5,4,9,79,1.42,0,15,11,-5.23,-1.42,-3.81,13.76
ADAM.PARDY,31,20152016,9,D,2,EDM/WPG,23,364.41,302.02,0,3,1,4,43,1.36,0,7,4,-2.06,4.56,-6.62,3.62
ADAM.PARDY,32,20162017,10,D,2,NSH,4,44.15,43.28,0,0,0,0,6,0.12,0,3,0,-4.4,15.09,-19.49,-0.66
ADAM.PAYERL,22,20132014,7,C,1,PIT,2,18.29,18.09,0,0,0,0,5,0.17,0,1,0,-10.81,23.31,-34.12,-0.42
ADAM.PELECH,21,20152016,9,D,2,NYI,9,154.75,125.48,0,2,0,2,18,0.17,0,0,0,-12.99,1.18,-14.17,0.33
ADAM.PELECH,22,20162017,10,D,2,NYI,44,740.15,675.9,3,1,6,10,86,1.41,0,3,4,-7.63,-4.32,-3.31,8.65
ADAM.PINEAULT,21,20072008,1,R,1,CBJ,3,33.14,32.79,0,0,0,0,8,0.24,-1,0,0,-8,-4.03,-3.97,-0.09
ADRIAN.AUCOIN,34,20072008,1,D,2,CGY,76,1584.41,1042.7,10,11,14,35,284,8.29,0,17,15,0.26,0.57,-0.31,42.11
ADRIAN.AUCOIN,35,20082009,2,D,2,CGY,80,1767.45,1102.68,10,8,15,33,283,6.29,0,21,6,-3.58,-2.82,-0.76,41.16
ADRIAN.AUCOIN,36,20092010,3,D,2,ARI,82,1842.97,1256.64,8,5,15,28,306,7.6,1,27,8,1.03,-7.5,8.53,40.45
ADRIAN.AUCOIN,37,20102011,4,D,2,ARI,75,1615.15,1246.11,3,11,8,22,230,4.11,1,26,8,-0.55,-0.9,0.35,25.11
ADRIAN.AUCOIN,38,20112012,5,D,2,ARI,64,1294.53,1051.82,2,0,7,9,199,3.26,0,22,7,-0.6,-5.4,4.8,18.09
ADRIAN.AUCOIN,39,20122013,6,D,2,CBJ,36,587.63,505.45,0,2,2,4,65,0.71,0,8,2,-3.34,-5.23,1.89,1.37
ADRIAN.KEMPE,20,20162017,10,L,1,L.A,25,305.6,262.55,2,3,1,6,59,2.72,-19,3,5,-3.25,-7.86,4.61,9.07
AKIM.ALIU,22,20112012,5,R,1,CGY,2,22.06,20.9,2,0,1,3,2,0.37,0,1,5,-1.15,4.26,-5.41,3.26
AKIM.ALIU,23,20122013,6,R,1,CGY,5,54.34,49.65,0,0,0,0,5,0.21,0,1,2,-14.73,4.22,-18.95,-0.99
ALAIN.NASREDDINE,32,20072008,1,D,2,PIT,6,77.27,62.88,0,0,0,0,6,0.09,0,2,1,-7.2,12,-19.2,-1.36
ALAN.QUINE,22,20152016,9,C,1,NYI,2,35.53,26.16,1,0,0,1,11,0.91,6,0,0,5.44,-13.45,18.89,1.18
ALAN.QUINE,23,20162017,10,C,1,NYI,61,763.39,655.36,5,6,7,18,120,7.79,-22,4,4,1.78,7.61,-5.83,14.98
ALEC.MARTINEZ,22,20092010,3,D,2,L.A,4,61,57.02,0,0,0,0,9,0.36,0,1,0,3.34,-15.01,18.35,0.37
ALEC.MARTINEZ,23,20102011,4,D,2,L.A,60,916.67,767.91,5,4,7,16,185,3.72,0,9,1,2.95,-5.62,8.57,27.62
ALEC.MARTINEZ,24,20112012,5,D,2,L.A,51,748.75,621.55,6,5,1,12,160,4.97,-1,4,5,6.65,-8.6,15.25,30.85
ALEC.MARTINEZ,25,20122013,6,D,2,L.A,27,432.62,357.68,1,0,4,5,67,1.48,0,5,1,1.25,-4.15,5.4,11.7
ALEC.MARTINEZ,26,20132014,7,D,2,L.A,61,956.2,772.12,11,4,7,22,212,7.34,0,7,5,-4.83,-2.29,-2.54,36.94
ALEC.MARTINEZ,27,20142015,8,D,2,L.A,56,1115.12,848.9,6,9,7,22,226,4.99,0,5,8,-1.48,5.8,-7.28,35.18
ALEC.MARTINEZ,28,20152016,9,D,2,L.A,78,1642.53,1222.53,10,13,8,31,303,7.05,0,19,9,-0.21,9.77,-9.98,47.73
ALEC.MARTINEZ,29,20162017,10,D,2,L.A,82,1769.63,1318.64,9,12,17,38,324,8.73,-1,12,5,2.97,3.48,-0.51,49.89
ALEKSANDER.BARKOV,18,20132014,7,C,1,FLA,54,923.07,712.42,8,12,4,24,126,8.4,-20,4,6,3.49,1.07,2.42,25.3
ALEKSANDER.BARKOV,19,20142015,8,C,1,FLA,71,1241.37,959.53,16,9,11,36,183,11.83,-78,7,9,1.14,-3.89,5.03,37.89
ALEKSANDER.BARKOV,20,20152016,9,C,1,FLA,66,1282.78,888.39,28,19,12,59,227,20.56,-18,4,15,2.21,4.38,-2.17,58.25
